11_3	1	0.35393	24792	10085
11_3	2	0.88977	336216	345143
11_3	3	0.85746	189034	194873
100_23	1	0.12163	44697	4354
100_23	2	0.82010	222953	279660
100_23	3	0.85252	174545	158228
110_3	1	0.11707	62033	5345
110_3	2	0.74683	191485	280798
110_3	3	0.81184	182305	150155
111_2	1	0.12473	57958	5425
111_2	2	0.77308	212673	272731
111_2	3	0.84205	183370	176397
112_2	1	0.11869	72569	5212
112_2	2	0.74568	194578	241083
112_2	3	0.81406	114818	135715
12_3	1	0.24929	58812	9623
12_3	2	0.84133	266917	313009
12_3	3	0.87677	180182	183344
13_3	1	0.08126	77071	4818
13_3	2	0.78482	251035	304385
13_3	3	0.86535	175302	194258
15_3	1	0.24693	45345	7698
15_3	2	0.70799	155527	210511
15_3	3	0.74054	141418	124082
16_3	1	0.17163	35286	4370
16_3	2	0.75195	145400	186204
16_3	3	0.76530	113210	103323
17_3	1	0.05245	143734	4021
17_3	2	0.31385	133705	192964
17_3	3	0.37155	34742	115197
191_3	1	0.08160	64352	3464
191_3	2	0.75278	170193	235741
191_3	3	0.85491	142758	138139
2_4	1	0.03476	155131	3052
2_4	2	0.28784	115725	188962
2_4	3	0.35436	40052	118895
202_3	1	0.51770	19074	9209
202_3	2	0.89715	262731	265564
202_3	3	0.86029	146609	153689
205_3	1	0.33193	35271	8672
205_3	2	0.85081	223662	255052
205_3	3	0.86545	165822	161077
6_10	1	0.32625	30504	7228
6_10	2	0.50925	89154	216065
6_10	3	0.65909	236899	133265
7_8	1	0.06412	85056	4523
7_8	2	0.60670	137965	203306
7_8	3	0.74564	100082	115310
8_4	1	0.07823	115369	5432
8_4	2	0.47641	179028	204609
8_4	3	0.41356	40619	125012
4_8	1	0.09036	118216	6245
4_8	2	0.39864	136442	177502
4_8	3	0.37576	37037	107949
