11_3	1	0.17886	90562	10085
11_3	2	0.77659	256408	345143
11_3	3	0.85740	203072	194873
100_23	1	0.09083	70887	4354
100_23	2	0.76841	214899	279660
100_23	3	0.84493	156409	158228
110_3	1	0.15947	34724	5345
110_3	2	0.81187	227222	280798
110_3	3	0.81264	173877	150155
111_2	1	0.12699	57525	5425
111_2	2	0.77740	218767	272731
111_2	3	0.83949	177709	176397
112_2	1	0.13737	60350	5212
112_2	2	0.76650	182236	241083
112_2	3	0.83175	139379	135715
12_3	1	0.19079	84031	9623
12_3	2	0.79292	244571	313009
12_3	3	0.87410	177309	183344
13_3	1	0.07005	97421	4818
13_3	2	0.73949	239647	304385
13_3	3	0.85393	166340	194258
15_3	1	0.17311	60006	7698
15_3	2	0.66738	149021	210511
15_3	3	0.73792	131004	124082
16_3	1	0.15841	39946	4370
16_3	2	0.72503	133889	186204
16_3	3	0.76576	119048	103323
17_3	1	0.09126	61110	4021
17_3	2	0.65972	135174	192964
17_3	3	0.76520	114983	115197
191_3	1	0.08812	58001	3464
191_3	2	0.76590	170693	235741
191_3	3	0.85483	148609	138139
2_4	1	0.04967	78856	3052
2_4	2	0.54172	145147	188962
2_4	3	0.58983	85401	118895
202_3	1	0.24244	60795	9209
202_3	2	0.80499	205417	265564
202_3	3	0.86218	162202	153689
205_3	1	0.24188	56576	8672
205_3	2	0.79571	193206	255052
205_3	3	0.86470	174973	161077
6_10	1	0.07151	135778	7228
6_10	2	0.33874	135831	216065
6_10	3	0.35589	81979	133265
7_8	1	0.10696	55200	4523
7_8	2	0.72154	145192	203306
7_8	3	0.80813	121771	115310
8_4	1	0.13335	55640	5432
8_4	2	0.69738	144966	204609
8_4	3	0.78900	132627	125012
4_8	1	0.07964	76298	6245
4_8	2	0.53694	136385	177502
4_8	3	0.58309	75626	107949
