11_3	1	0.60570	9380	10085
11_3	2	0.89296	371231	345143
11_3	3	0.80734	169431	194873
100_23	1	0.24031	19474	4354
100_23	2	0.85828	260114	279660
100_23	3	0.81331	162607	158228
110_3	1	0.14897	48612	5345
110_3	2	0.75276	211870	280798
110_3	3	0.76537	175341	150155
111_2	1	0.16365	42165	5425
111_2	2	0.78384	236705	272731
111_2	3	0.80103	175131	176397
112_2	1	0.17973	45042	5212
112_2	2	0.79541	234566	241083
112_2	3	0.74793	102357	135715
12_3	1	0.40566	33309	9623
12_3	2	0.87256	305674	313009
12_3	3	0.83285	166928	183344
13_3	1	0.15728	36816	4818
13_3	2	0.83703	306947	304385
13_3	3	0.80714	159645	194258
15_3	1	0.47878	19868	7698
15_3	2	0.78654	184276	210511
15_3	3	0.72605	138146	124082
16_3	1	0.33189	15902	4370
16_3	2	0.81500	172905	186204
16_3	3	0.73954	105089	103323
17_3	1	0.04900	149252	4021
17_3	2	0.32615	133590	192964
17_3	3	0.31616	29339	115197
191_3	1	0.12005	38768	3464
191_3	2	0.80174	204990	235741
191_3	3	0.80723	133545	138139
2_4	1	0.03118	155470	3052
2_4	2	0.30332	115959	188962
2_4	3	0.32132	39479	118895
202_3	1	0.74800	9938	9209
202_3	2	0.88551	289795	265564
202_3	3	0.78740	128681	153689
205_3	1	0.55118	17294	8672
205_3	2	0.86946	255303	255052
205_3	3	0.81680	152158	161077
6_10	1	0.59674	13726	7228
6_10	2	0.53932	95338	216065
6_10	3	0.63897	247493	133265
7_8	1	0.07466	76510	4523
7_8	2	0.61599	151844	203306
7_8	3	0.68671	94749	115310
8_4	1	0.08179	105606	5432
8_4	2	0.50729	196107	204609
8_4	3	0.35225	33303	125012
4_8	1	0.08898	112992	6245
4_8	2	0.43618	143890	177502
4_8	3	0.34111	34813	107949
