1_24	0.95745	7.000	301851	307754
100_23	0.95097	8.544	418701	442195
11_3	0.96420	6.403	539245	550042
110_3	0.96486	6.403	444108	436254
111_2	0.96297	7.280	453849	454508
112_2	0.96631	6.083	391927	381965
12_3	0.95712	6.000	514901	505911
15_3	0.91442	9.487	301001	342290
16_3	0.93947	6.481	270624	293896
17_3	0.95587	9.000	307626	312181
191_3	0.95993	7.616	372973	377303
2_4	0.92537	12.042	291407	310908
202_3	0.96247	7.874	429514	428414
205_3	0.96342	8.000	419408	424755
4_8	0.91908	10.817	261680	291695
5_8	0.91184	10.050	316225	320335
6_10	0.89166	42.732	384652	356557
7_8	0.95852	9.434	320216	323103
8_4	0.95596	6.928	328028	335016
